src,dst,pt1_lat,pt1_lon,pt2_lat,pt2_lon,dist,time,bat
0,0,42.393167,-71.064352,40.718037,-73.932309,340157.0,16639.0,
0,1,42.393167,-71.064352,41.527246,-72.064419,159537.0,7641.0,
0,2,42.393167,-71.064352,42.439859,-71.257005,20760.0,1444.0,
0,3,42.393167,-71.064352,44.461715,-73.215217,345012.0,15394.0,
0,4,42.393167,-71.064352,39.417088,-74.538731,536156.0,25342.0,
0,5,42.393167,-71.064352,39.410942,-74.53063,536546.0,25387.0,
0,6,42.393167,-71.064352,39.914001,-75.108896,489692.0,23404.0,
0,7,42.393167,-71.064352,42.748652,-71.49884,62704.0,3293.0,
0,8,42.393167,-71.064352,39.697476,-75.112075,507232.0,24252.0,
0,9,42.393167,-71.064352,41.741747,-72.659203,163471.0,7789.0,
0,10,42.393167,-71.064352,39.411625,-75.03746,534789.0,25747.0,
0,11,42.393167,-71.064352,41.258249,-70.063098,170001.0,14975.0,
0,12,42.393167,-71.064352,39.811305,-74.96135,491499.0,23491.0,
0,13,42.393167,-71.064352,40.122009,-74.856644,461781.0,22047.0,
0,14,42.393167,-71.064352,41.662033,-70.949338,93726.0,4639.0,
0,15,42.393167,-71.064352,43.174856,-71.485967,108374.0,5183.0,
0,16,42.393167,-71.064352,42.102397,-75.839707,486609.0,21991.0,
0,17,42.393167,-71.064352,40.860729,-75.27151,460123.0,22198.0,
0,18,42.393167,-71.064352,40.191991,-74.794534,445553.0,21839.0,
0,19,42.393167,-71.064352,40.387923,-74.085991,414027.0,20294.0,
0,20,42.393167,-71.064352,40.247319,-74.24322,419871.0,20441.0,
0,21,42.393167,-71.064352,39.989815,-74.258336,465771.0,22390.0,
0,22,42.393167,-71.064352,41.554634,-72.107836,158080.0,7400.0,
0,23,42.393167,-71.064352,41.3634,-75.730103,478334.0,21949.0,
0,24,42.393167,-71.064352,41.294864,-72.899122,221447.0,10430.0,
0,25,42.393167,-71.064352,44.590314,-69.289139,318861.0,14723.0,
0,26,42.393167,-71.064352,39.660766,-75.693486,548791.0,25831.0,
0,27,42.393167,-71.064352,41.315531,-75.753889,482525.0,21969.0,
0,28,42.393167,-71.064352,43.062221,-73.822235,322332.0,15038.0,
0,29,42.393167,-71.064352,40.744271,-75.218923,462815.0,22387.0,
0,30,42.393167,-71.064352,39.821725,-75.240765,506201.0,23937.0,
0,31,42.393167,-71.064352,42.251305,-71.805502,71186.0,3812.0,
0,32,42.393167,-71.064352,43.970783,-70.609685,206619.0,9936.0,
0,33,42.393167,-71.064352,40.805695,-73.880803,328637.0,15922.0,
0,34,42.393167,-71.064352,43.182787,-71.495001,106875.0,5091.0,
0,35,42.393167,-71.064352,39.147778,-75.498889,609053.0,28583.0,
0,36,42.393167,-71.064352,39.572621,-75.053406,528288.0,24965.0,
0,37,42.393167,-71.064352,41.931182,-72.597616,166641.0,8014.0,
0,38,42.393167,-71.064352,44.680358,-72.36351,335984.0,15728.0,
0,39,42.393167,-71.064352,39.224956,-74.774461,565008.0,26778.0,
0,40,42.393167,-71.064352,38.485467,-75.823919,699619.0,33427.0,
0,41,42.393167,-71.064352,39.052532,-74.851683,583486.0,27315.0,
0,42,42.393167,-71.064352,40.1216,-75.29016,500387.0,23649.0,
0,43,42.393167,-71.064352,40.75717,-73.76397,331599.0,16043.0,
0,44,42.393167,-71.064352,40.67626,-74.24808,372060.0,18238.0,
0,45,42.393167,-71.064352,41.07986,-75.58099,482615.0,22713.0,
0,46,42.393167,-71.064352,40.75402,-73.9493,336829.0,16498.0,
0,47,42.393167,-71.064352,41.89222,-70.90753,70651.0,3660.0,
0,48,42.393167,-71.064352,41.04002,-74.06268,337416.0,16371.0,
0,49,42.393167,-71.064352,39.45187,-75.0998,545149.0,25855.0,
1,0,40.718037,-73.932309,42.393167,-71.064352,338886.0,16618.0,
1,1,40.718037,-73.932309,36.864044,-76.217318,571408.0,28154.0,
1,2,40.718037,-73.932309,37.083023,-76.463112,644386.0,29402.0,
1,3,40.718037,-73.932309,41.527246,-72.064419,211166.0,10734.0,
1,4,40.718037,-73.932309,42.439859,-71.257005,332065.0,15977.0,
1,5,40.718037,-73.932309,44.461715,-73.215217,481907.0,24419.0,
1,6,40.718037,-73.932309,39.417088,-74.538731,199801.0,9607.0,
1,7,40.718037,-73.932309,42.861455,-78.800352,604186.0,28396.0,
1,8,40.718037,-73.932309,39.410942,-74.53063,200191.0,9652.0,
1,9,40.718037,-73.932309,39.914001,-75.108896,153337.0,7669.0,
1,10,40.718037,-73.932309,42.748652,-71.49884,360322.0,17539.0,
1,11,40.718037,-73.932309,39.697476,-75.112075,170877.0,8516.0,
1,12,40.718037,-73.932309,42.844172,-78.747585,599274.0,28147.0,
1,13,40.718037,-73.932309,39.231108,-76.574575,312495.0,14623.0,
1,14,40.718037,-73.932309,41.741747,-72.659203,178311.0,9065.0,
1,15,40.718037,-73.932309,39.411625,-75.03746,198434.0,10012.0,
1,16,40.718037,-73.932309,41.258249,-70.063098,454952.0,28679.0,
1,17,40.718037,-73.932309,39.186951,-76.656014,323106.0,15122.0,
1,18,40.718037,-73.932309,37.522579,-77.433474,546102.0,25395.0,
1,19,40.718037,-73.932309,38.97776,-77.438304,405881.0,19048.0,
1,20,40.718037,-73.932309,39.811305,-74.96135,155144.0,7756.0,
1,21,40.718037,-73.932309,40.122009,-74.856644,125426.0,6312.0,
1,22,40.718037,-73.932309,41.787689,-76.453971,306725.0,15872.0,
1,23,40.718037,-73.932309,41.237004,-77.038235,319662.0,14952.0,
1,24,40.718037,-73.932309,41.662033,-70.949338,330093.0,16159.0,
1,25,40.718037,-73.932309,43.174856,-71.485967,417415.0,20331.0,
1,26,40.718037,-73.932309,41.157378,-77.349123,360804.0,16313.0,
1,27,40.718037,-73.932309,41.966439,-76.534294,360900.0,16744.0,
1,28,40.718037,-73.932309,40.087252,-76.095113,240434.0,11634.0,
1,29,40.718037,-73.932309,42.102397,-75.839707,287981.0,13447.0,
1,30,40.718037,-73.932309,40.860729,-75.27151,137412.0,7158.0,
1,31,40.718037,-73.932309,42.922551,-78.628437,599021.0,27843.0,
1,32,40.718037,-73.932309,40.191991,-74.794534,109198.0,6104.0,
1,33,40.718037,-73.932309,40.387923,-74.085991,77672.0,4558.0,
1,34,40.718037,-73.932309,40.247319,-74.24322,83516.0,4706.0,
1,35,40.718037,-73.932309,39.989815,-74.258336,129416.0,6655.0,
1,36,40.718037,-73.932309,41.554634,-72.107836,211484.0,10591.0,
1,37,40.718037,-73.932309,41.3634,-75.730103,205539.0,10231.0,
1,38,40.718037,-73.932309,41.294864,-72.899122,124282.0,6742.0,
1,39,40.718037,-73.932309,42.983441,-78.91425,619267.0,29175.0,
1,40,40.718037,-73.932309,44.590314,-69.289139,655974.0,30451.0,
1,41,40.718037,-73.932309,40.27102,-78.83327,485574.0,22464.0,
1,42,40.718037,-73.932309,40.450231,-76.415776,233784.0,10997.0,
1,43,40.718037,-73.932309,39.660766,-75.693486,212436.0,10096.0,
1,44,40.718037,-73.932309,39.317115,-76.531988,301711.0,14110.0,
1,45,40.718037,-73.932309,40.055995,-76.327723,269239.0,12271.0,
1,46,40.718037,-73.932309,41.315531,-75.753889,217807.0,10307.0,
1,47,40.718037,-73.932309,40.724957,-76.317177,241103.0,11627.0,
1,48,40.718037,-73.932309,42.938929,-78.823213,608808.0,28734.0,
1,49,40.718037,-73.932309,43.062221,-73.822235,298884.0,14223.0,
1,50,40.718037,-73.932309,40.744271,-75.218923,126313.0,6587.0,
1,51,40.718037,-73.932309,40.838387,-77.787831,383876.0,17344.0,
1,52,40.718037,-73.932309,39.821725,-75.240765,169846.0,8202.0,
1,53,40.718037,-73.932309,41.125042,-78.765941,470331.0,20648.0,
1,54,40.718037,-73.932309,39.974852,-76.723959,303825.0,14094.0,
1,55,40.718037,-73.932309,40.23601,-77.122908,303286.0,14138.0,
1,56,40.718037,-73.932309,39.497643,-76.169957,265751.0,12542.0,
1,57,40.718037,-73.932309,42.251305,-71.805502,275830.0,13504.0,
1,58,40.718037,-73.932309,43.970783,-70.609685,543733.0,25664.0,
1,59,40.718037,-73.932309,43.139294,-77.666717,518686.0,24967.0,
1,60,40.718037,-73.932309,43.120271,-76.220444,419113.0,19501.0,
1,61,40.718037,-73.932309,40.805695,-73.880803,18043.0,1295.0,
1,62,40.718037,-73.932309,40.334523,-78.900235,494713.0,22996.0,
1,63,40.718037,-73.932309,39.944688,-76.793636,312061.0,14800.0,
1,64,40.718037,-73.932309,38.472406,-78.878672,571593.0,25499.0,
1,65,40.718037,-73.932309,36.755694,-76.224619,584257.0,28734.0,
1,66,40.718037,-73.932309,43.182787,-71.495001,415917.0,20239.0,
1,67,40.718037,-73.932309,39.103618,-77.133408,371209.0,17430.0,
1,68,40.718037,-73.932309,39.147778,-75.498889,272698.0,12848.0,
